onset	duration	stim_file
0	3	chn_images/word146/4.jpeg
5	3	chn_images/word255/4.jpeg
10	3	chn_images/word194/4.jpeg
15	3	chn_images/word7/6.jpeg
20	3	chn_images/word88/2.jpeg
25	3	chn_images/word331/3.jpeg
30	3	chn_images/word651/6.jpeg
35	3	chn_images/word474/1.jpeg
40	3	chn_images/word261/2.jpeg
45	3	chn_images/word506/2.jpeg
50	3	chn_images/word56/3.jpeg
55	3	chn_images/word166/3.jpeg
60	3	chn_images/word426/4.jpeg
65	3	chn_images/word2/6.jpeg
70	3	chn_images/word520/6.jpeg
75	3	chn_images/word207/3.jpeg
80	3	chn_images/word52/4.jpeg
85	3	chn_images/word141/5.jpeg
90	3	chn_images/word502/5.jpeg
95	3	chn_images/word527/5.jpeg
100	3	chn_images/word361/4.jpeg
105	3	chn_images/word626/4.jpeg
110	3	chn_images/word591/2.jpeg
115	3	chn_images/word99/3.jpeg
120	3	chn_images/word590/1.jpeg
125	3	chn_images/word450/2.jpeg
130	3	chn_images/word101/1.jpeg
135	3	chn_images/word282/2.jpeg
150	3	chn_images/word370/3.jpeg
155	3	chn_images/word259/1.jpeg
160	3	chn_images/word240/5.jpeg
165	3	chn_images/word423/5.jpeg
170	3	chn_images/word336/4.jpeg
175	3	chn_images/word421/5.jpeg
180	3	chn_images/word529/4.jpeg
185	3	chn_images/word67/2.jpeg
190	3	chn_images/word266/3.jpeg
195	3	chn_images/word498/2.jpeg
200	3	chn_images/word73/3.jpeg
205	3	chn_images/word381/2.jpeg
210	3	chn_images/word245/1.jpeg
215	3	chn_images/word124/4.jpeg
220	3	chn_images/word297/2.jpeg
225	3	chn_images/word155/3.jpeg
230	3	chn_images/word596/1.jpeg
235	3	chn_images/word471/2.jpeg
240	3	chn_images/word171/6.jpeg
245	3	chn_images/word409/5.jpeg
250	3	chn_images/word552/5.jpeg
255	3	chn_images/word242/2.jpeg
260	3	chn_images/word226/2.jpeg
265	3	chn_images/word508/1.jpeg
270	3	chn_images/word369/2.jpeg
275	3	chn_images/word263/2.jpeg
280	3	chn_images/word507/6.jpeg
285	3	chn_images/word440/6.jpeg
