onset	duration	stim_file
0	3	chn_images/word171/2.jpeg
5	3	chn_images/word493/1.jpeg
10	3	chn_images/word336/3.jpeg
15	3	chn_images/word124/4.jpeg
20	3	chn_images/word263/1.jpeg
25	3	chn_images/word599/6.jpeg
30	3	chn_images/word193/2.jpeg
35	3	chn_images/word185/1.jpeg
40	3	chn_images/word99/4.jpeg
45	3	chn_images/word15/1.jpeg
50	3	chn_images/word101/5.jpeg
55	3	chn_images/word28/5.jpeg
60	3	chn_images/word261/2.jpeg
65	3	chn_images/word440/1.jpeg
70	3	chn_images/word112/3.jpeg
75	3	chn_images/word29/1.jpeg
80	3	chn_images/word511/6.jpeg
85	3	chn_images/word24/5.jpeg
90	3	chn_images/word58/4.jpeg
95	3	chn_images/word242/4.jpeg
100	3	chn_images/word431/2.jpeg
105	3	chn_images/word21/3.jpeg
110	3	chn_images/word128/4.jpeg
115	3	chn_images/word211/6.jpeg
120	3	chn_images/word529/1.jpeg
125	3	chn_images/word423/2.jpeg
130	3	chn_images/word209/2.jpeg
135	3	chn_images/word370/5.jpeg
150	3	chn_images/word244/5.jpeg
155	3	chn_images/word2/4.jpeg
160	3	chn_images/word447/6.jpeg
165	3	chn_images/word114/2.jpeg
170	3	chn_images/word655/5.jpeg
175	3	chn_images/word545/2.jpeg
180	3	chn_images/word341/3.jpeg
185	3	chn_images/word527/1.jpeg
190	3	chn_images/word282/6.jpeg
195	3	chn_images/word450/6.jpeg
200	3	chn_images/word281/3.jpeg
205	3	chn_images/word591/6.jpeg
210	3	chn_images/word84/6.jpeg
215	3	chn_images/word649/3.jpeg
220	3	chn_images/word146/6.jpeg
225	3	chn_images/word548/4.jpeg
230	3	chn_images/word259/6.jpeg
235	3	chn_images/word481/3.jpeg
240	3	chn_images/word52/2.jpeg
245	3	chn_images/word73/6.jpeg
250	3	chn_images/word409/1.jpeg
255	3	chn_images/word303/2.jpeg
260	3	chn_images/word426/2.jpeg
265	3	chn_images/word520/4.jpeg
270	3	chn_images/word626/3.jpeg
275	3	chn_images/word74/1.jpeg
280	3	chn_images/word361/1.jpeg
285	3	chn_images/word507/6.jpeg
