onset	duration	stim_file
0	3	chn_images/word269/1.jpeg
5	3	chn_images/word108/6.jpeg
10	3	chn_images/word428/4.jpeg
15	3	chn_images/word450/1.jpeg
20	3	chn_images/word361/3.jpeg
25	3	chn_images/word346/1.jpeg
30	3	chn_images/word293/4.jpeg
35	3	chn_images/word468/2.jpeg
40	3	chn_images/word71/2.jpeg
45	3	chn_images/word210/5.jpeg
50	3	chn_images/word457/3.jpeg
55	3	chn_images/word37/2.jpeg
60	3	chn_images/word502/6.jpeg
65	3	chn_images/word521/2.jpeg
70	3	chn_images/word313/4.jpeg
75	3	chn_images/word102/5.jpeg
80	3	chn_images/word422/6.jpeg
85	3	chn_images/word656/3.jpeg
90	3	chn_images/word235/5.jpeg
95	3	chn_images/word383/2.jpeg
100	3	chn_images/word342/2.jpeg
105	3	chn_images/word443/6.jpeg
110	3	chn_images/word83/6.jpeg
115	3	chn_images/word255/2.jpeg
120	3	chn_images/word596/3.jpeg
125	3	chn_images/word418/5.jpeg
130	3	chn_images/word74/6.jpeg
135	3	chn_images/word567/1.jpeg
140	3	chn_images/word93/4.jpeg
145	3	chn_images/word15/5.jpeg
150	3	chn_images/word179/6.jpeg
155	3	chn_images/word473/4.jpeg
160	3	chn_images/word101/3.jpeg
165	3	chn_images/word304/1.jpeg
170	3	chn_images/word591/2.jpeg
175	3	chn_images/word96/5.jpeg
180	3	chn_images/word620/3.jpeg
185	3	chn_images/word52/6.jpeg
190	3	chn_images/word483/3.jpeg
195	3	chn_images/word512/4.jpeg
200	3	chn_images/word347/1.jpeg
205	3	chn_images/word262/3.jpeg
220	3	chn_images/word549/3.jpeg
225	3	chn_images/word617/1.jpeg
230	3	chn_images/word56/4.jpeg
235	3	chn_images/word296/5.jpeg
240	3	chn_images/word642/2.jpeg
245	3	chn_images/word188/6.jpeg
250	3	chn_images/word599/1.jpeg
255	3	chn_images/word440/1.jpeg
260	3	chn_images/word462/3.jpeg
265	3	chn_images/word341/4.jpeg
270	3	chn_images/word72/5.jpeg
275	3	chn_images/word270/4.jpeg
280	3	chn_images/word535/4.jpeg
285	3	chn_images/word551/5.jpeg
290	3	chn_images/word98/3.jpeg
295	3	chn_images/word73/6.jpeg
300	3	chn_images/word274/1.jpeg
305	3	chn_images/word253/3.jpeg
310	3	chn_images/word183/6.jpeg
315	3	chn_images/word594/1.jpeg
320	3	chn_images/word76/2.jpeg
325	3	chn_images/word163/1.jpeg
330	3	chn_images/word263/4.jpeg
335	3	chn_images/word137/4.jpeg
340	3	chn_images/word652/3.jpeg
345	3	chn_images/word294/1.jpeg
350	3	chn_images/word8/2.jpeg
355	3	chn_images/word655/5.jpeg
360	3	chn_images/word112/3.jpeg
365	3	chn_images/word7/5.jpeg
370	3	chn_images/word225/1.jpeg
375	3	chn_images/word609/2.jpeg
380	3	chn_images/word117/4.jpeg
385	3	chn_images/word486/4.jpeg
390	3	chn_images/word151/5.jpeg
395	3	chn_images/word141/5.jpeg
400	3	chn_images/word123/5.jpeg
405	3	chn_images/word491/3.jpeg
410	3	chn_images/word54/5.jpeg
415	3	chn_images/word632/6.jpeg
420	3	chn_images/word66/2.jpeg
425	3	chn_images/word129/3.jpeg
