onset	duration	stim_file
0	3	chn_images/word214/6.jpeg
5	3	chn_images/word635/5.jpeg
10	3	chn_images/word433/2.jpeg
15	3	chn_images/word382/5.jpeg
20	3	chn_images/word125/5.jpeg
25	3	chn_images/word562/6.jpeg
30	3	chn_images/word316/1.jpeg
35	3	chn_images/word4/6.jpeg
40	3	chn_images/word387/1.jpeg
45	3	chn_images/word475/1.jpeg
50	3	chn_images/word359/5.jpeg
55	3	chn_images/word600/5.jpeg
60	3	chn_images/word648/6.jpeg
65	3	chn_images/word110/5.jpeg
70	3	chn_images/word239/1.jpeg
75	3	chn_images/word113/5.jpeg
80	3	chn_images/word582/5.jpeg
85	3	chn_images/word501/4.jpeg
90	3	chn_images/word132/5.jpeg
95	3	chn_images/word154/6.jpeg
100	3	chn_images/word196/6.jpeg
105	3	chn_images/word559/5.jpeg
110	3	chn_images/word203/1.jpeg
115	3	chn_images/word391/4.jpeg
120	3	chn_images/word672/2.jpeg
125	3	chn_images/word414/5.jpeg
130	3	chn_images/word111/1.jpeg
135	3	chn_images/word284/2.jpeg
150	3	chn_images/word390/1.jpeg
155	3	chn_images/word97/3.jpeg
160	3	chn_images/word283/1.jpeg
165	3	chn_images/word267/3.jpeg
170	3	chn_images/word601/1.jpeg
175	3	chn_images/word509/4.jpeg
180	3	chn_images/word160/4.jpeg
185	3	chn_images/word144/2.jpeg
190	3	chn_images/word307/5.jpeg
195	3	chn_images/word63/4.jpeg
200	3	chn_images/word570/2.jpeg
205	3	chn_images/word542/5.jpeg
210	3	chn_images/word38/6.jpeg
215	3	chn_images/word80/6.jpeg
220	3	chn_images/word298/3.jpeg
225	3	chn_images/word412/1.jpeg
230	3	chn_images/word337/2.jpeg
235	3	chn_images/word218/5.jpeg
240	3	chn_images/word344/4.jpeg
245	3	chn_images/word434/5.jpeg
250	3	chn_images/word156/6.jpeg
255	3	chn_images/word238/3.jpeg
260	3	chn_images/word152/3.jpeg
265	3	chn_images/word236/5.jpeg
270	3	chn_images/word660/3.jpeg
275	3	chn_images/word618/2.jpeg
280	3	chn_images/word572/1.jpeg
285	3	chn_images/word437/5.jpeg
