onset	duration	stim_file
0	3	chn_images/word330/4.jpeg
5	3	chn_images/word233/1.jpeg
10	3	chn_images/word633/5.jpeg
15	3	chn_images/word42/5.jpeg
20	3	chn_images/word50/2.jpeg
25	3	chn_images/word340/3.jpeg
30	3	chn_images/word379/3.jpeg
35	3	chn_images/word425/1.jpeg
40	3	chn_images/word480/1.jpeg
45	3	chn_images/word547/5.jpeg
50	3	chn_images/word142/5.jpeg
55	3	chn_images/word575/2.jpeg
60	3	chn_images/word103/4.jpeg
65	3	chn_images/word411/3.jpeg
70	3	chn_images/word661/5.jpeg
75	3	chn_images/word631/2.jpeg
80	3	chn_images/word276/6.jpeg
85	3	chn_images/word393/3.jpeg
90	3	chn_images/word16/6.jpeg
95	3	chn_images/word482/3.jpeg
100	3	chn_images/word22/2.jpeg
105	3	chn_images/word312/2.jpeg
110	3	chn_images/word319/3.jpeg
115	3	chn_images/word229/5.jpeg
120	3	chn_images/word216/5.jpeg
125	3	chn_images/word17/5.jpeg
130	3	chn_images/word32/5.jpeg
135	3	chn_images/word3/5.jpeg
150	3	chn_images/word345/1.jpeg
155	3	chn_images/word286/4.jpeg
160	3	chn_images/word598/1.jpeg
165	3	chn_images/word290/1.jpeg
170	3	chn_images/word363/4.jpeg
175	3	chn_images/word497/5.jpeg
180	3	chn_images/word145/3.jpeg
185	3	chn_images/word10/5.jpeg
190	3	chn_images/word544/1.jpeg
195	3	chn_images/word438/2.jpeg
200	3	chn_images/word602/4.jpeg
205	3	chn_images/word27/1.jpeg
210	3	chn_images/word189/1.jpeg
215	3	chn_images/word504/6.jpeg
220	3	chn_images/word322/6.jpeg
225	3	chn_images/word318/3.jpeg
230	3	chn_images/word173/1.jpeg
235	3	chn_images/word442/5.jpeg
240	3	chn_images/word603/3.jpeg
245	3	chn_images/word300/4.jpeg
250	3	chn_images/word488/3.jpeg
255	3	chn_images/word351/2.jpeg
260	3	chn_images/word62/3.jpeg
265	3	chn_images/word374/3.jpeg
270	3	chn_images/word265/6.jpeg
275	3	chn_images/word606/1.jpeg
280	3	chn_images/word126/3.jpeg
285	3	chn_images/word510/3.jpeg
