onset	duration	stim_file
0	3	chn_images/word196/6.jpeg
5	3	chn_images/word671/4.jpeg
10	3	chn_images/word239/2.jpeg
15	3	chn_images/word246/6.jpeg
20	3	chn_images/word344/1.jpeg
25	3	chn_images/word364/1.jpeg
30	3	chn_images/word600/4.jpeg
35	3	chn_images/word570/3.jpeg
40	3	chn_images/word561/2.jpeg
45	3	chn_images/word307/2.jpeg
50	3	chn_images/word327/4.jpeg
55	3	chn_images/word524/6.jpeg
60	3	chn_images/word397/4.jpeg
65	3	chn_images/word154/5.jpeg
70	3	chn_images/word149/6.jpeg
75	3	chn_images/word310/1.jpeg
80	3	chn_images/word542/2.jpeg
85	3	chn_images/word182/5.jpeg
90	3	chn_images/word582/5.jpeg
95	3	chn_images/word434/5.jpeg
100	3	chn_images/word475/6.jpeg
105	3	chn_images/word559/6.jpeg
110	3	chn_images/word288/3.jpeg
115	3	chn_images/word662/1.jpeg
120	3	chn_images/word113/3.jpeg
125	3	chn_images/word350/6.jpeg
130	3	chn_images/word387/1.jpeg
135	3	chn_images/word5/4.jpeg
150	3	chn_images/word338/5.jpeg
155	3	chn_images/word228/2.jpeg
160	3	chn_images/word150/3.jpeg
165	3	chn_images/word672/4.jpeg
170	3	chn_images/word200/2.jpeg
175	3	chn_images/word391/4.jpeg
180	3	chn_images/word433/4.jpeg
185	3	chn_images/word202/4.jpeg
190	3	chn_images/word401/4.jpeg
195	3	chn_images/word97/1.jpeg
200	3	chn_images/word230/1.jpeg
205	3	chn_images/word125/6.jpeg
210	3	chn_images/word466/2.jpeg
215	3	chn_images/word33/4.jpeg
220	3	chn_images/word522/1.jpeg
225	3	chn_images/word120/1.jpeg
230	3	chn_images/word503/6.jpeg
235	3	chn_images/word26/5.jpeg
240	3	chn_images/word635/2.jpeg
245	3	chn_images/word616/6.jpeg
250	3	chn_images/word156/5.jpeg
255	3	chn_images/word316/5.jpeg
260	3	chn_images/word306/3.jpeg
265	3	chn_images/word382/2.jpeg
270	3	chn_images/word359/6.jpeg
275	3	chn_images/word464/2.jpeg
280	3	chn_images/word490/4.jpeg
285	3	chn_images/word267/3.jpeg
