onset	duration	stim_file
0	3	chn_images/word167/5.jpeg
5	3	chn_images/word7/4.jpeg
10	3	chn_images/word123/3.jpeg
15	3	chn_images/word211/6.jpeg
20	3	chn_images/word520/1.jpeg
25	3	chn_images/word56/5.jpeg
30	3	chn_images/word255/5.jpeg
35	3	chn_images/word529/4.jpeg
40	3	chn_images/word112/4.jpeg
45	3	chn_images/word303/4.jpeg
50	3	chn_images/word346/1.jpeg
55	3	chn_images/word52/4.jpeg
60	3	chn_images/word331/2.jpeg
65	3	chn_images/word41/1.jpeg
70	3	chn_images/word548/6.jpeg
75	3	chn_images/word440/3.jpeg
80	3	chn_images/word29/3.jpeg
85	3	chn_images/word508/4.jpeg
90	3	chn_images/word114/1.jpeg
95	3	chn_images/word58/3.jpeg
100	3	chn_images/word506/5.jpeg
105	3	chn_images/word481/4.jpeg
110	3	chn_images/word413/2.jpeg
115	3	chn_images/word2/6.jpeg
120	3	chn_images/word552/2.jpeg
125	3	chn_images/word599/6.jpeg
130	3	chn_images/word655/5.jpeg
135	3	chn_images/word261/3.jpeg
150	3	chn_images/word484/4.jpeg
155	3	chn_images/word545/3.jpeg
160	3	chn_images/word591/5.jpeg
165	3	chn_images/word242/3.jpeg
170	3	chn_images/word281/4.jpeg
175	3	chn_images/word471/2.jpeg
180	3	chn_images/word360/6.jpeg
185	3	chn_images/word396/6.jpeg
190	3	chn_images/word450/6.jpeg
195	3	chn_images/word101/1.jpeg
200	3	chn_images/word251/1.jpeg
205	3	chn_images/word207/5.jpeg
210	3	chn_images/word245/2.jpeg
215	3	chn_images/word226/5.jpeg
220	3	chn_images/word263/1.jpeg
225	3	chn_images/word105/4.jpeg
230	3	chn_images/word664/2.jpeg
235	3	chn_images/word244/5.jpeg
240	3	chn_images/word341/6.jpeg
245	3	chn_images/word579/4.jpeg
250	3	chn_images/word409/2.jpeg
255	3	chn_images/word24/2.jpeg
260	3	chn_images/word511/1.jpeg
265	3	chn_images/word15/5.jpeg
270	3	chn_images/word141/2.jpeg
275	3	chn_images/word60/3.jpeg
280	3	chn_images/word146/4.jpeg
285	3	chn_images/word649/5.jpeg
