onset	duration	stim_file
0	3	chn_images/word139/5.jpeg
5	3	chn_images/word565/4.jpeg
10	3	chn_images/word573/4.jpeg
15	3	chn_images/word486/6.jpeg
20	3	chn_images/word35/3.jpeg
25	3	chn_images/word302/2.jpeg
30	3	chn_images/word296/5.jpeg
35	3	chn_images/word140/5.jpeg
40	3	chn_images/word179/3.jpeg
45	3	chn_images/word293/2.jpeg
50	3	chn_images/word577/1.jpeg
55	3	chn_images/word473/4.jpeg
60	3	chn_images/word418/3.jpeg
65	3	chn_images/word643/3.jpeg
70	3	chn_images/word157/5.jpeg
75	3	chn_images/word472/5.jpeg
80	3	chn_images/word625/2.jpeg
85	3	chn_images/word588/2.jpeg
90	3	chn_images/word636/3.jpeg
95	3	chn_images/word69/3.jpeg
100	3	chn_images/word98/3.jpeg
105	3	chn_images/word186/2.jpeg
110	3	chn_images/word469/4.jpeg
115	3	chn_images/word592/5.jpeg
120	3	chn_images/word204/1.jpeg
125	3	chn_images/word25/4.jpeg
130	3	chn_images/word476/2.jpeg
135	3	chn_images/word663/2.jpeg
150	3	chn_images/word514/3.jpeg
155	3	chn_images/word640/5.jpeg
160	3	chn_images/word332/2.jpeg
165	3	chn_images/word609/4.jpeg
170	3	chn_images/word158/2.jpeg
175	3	chn_images/word102/5.jpeg
180	3	chn_images/word410/3.jpeg
185	3	chn_images/word589/6.jpeg
190	3	chn_images/word617/6.jpeg
195	3	chn_images/word122/6.jpeg
200	3	chn_images/word535/1.jpeg
205	3	chn_images/word458/2.jpeg
210	3	chn_images/word621/5.jpeg
215	3	chn_images/word159/1.jpeg
220	3	chn_images/word543/6.jpeg
225	3	chn_images/word400/1.jpeg
230	3	chn_images/word629/1.jpeg
235	3	chn_images/word169/4.jpeg
240	3	chn_images/word428/3.jpeg
245	3	chn_images/word248/6.jpeg
250	3	chn_images/word628/3.jpeg
255	3	chn_images/word461/1.jpeg
260	3	chn_images/word311/6.jpeg
265	3	chn_images/word388/5.jpeg
270	3	chn_images/word168/5.jpeg
275	3	chn_images/word304/5.jpeg
280	3	chn_images/word320/2.jpeg
285	3	chn_images/word586/1.jpeg
