onset	duration	stim_file
0	3	chn_images/word648/1.jpeg
5	3	chn_images/word601/1.jpeg
10	3	chn_images/word283/1.jpeg
15	3	chn_images/word582/5.jpeg
20	3	chn_images/word113/3.jpeg
25	3	chn_images/word97/4.jpeg
30	3	chn_images/word572/1.jpeg
35	3	chn_images/word433/1.jpeg
40	3	chn_images/word387/6.jpeg
45	3	chn_images/word203/1.jpeg
50	3	chn_images/word200/6.jpeg
55	3	chn_images/word671/4.jpeg
60	3	chn_images/word364/1.jpeg
65	3	chn_images/word38/2.jpeg
70	3	chn_images/word338/6.jpeg
75	3	chn_images/word230/6.jpeg
80	3	chn_images/word672/1.jpeg
85	3	chn_images/word228/1.jpeg
90	3	chn_images/word359/2.jpeg
95	3	chn_images/word246/1.jpeg
100	3	chn_images/word120/1.jpeg
105	3	chn_images/word236/2.jpeg
110	3	chn_images/word616/1.jpeg
115	3	chn_images/word170/5.jpeg
120	3	chn_images/word196/3.jpeg
125	3	chn_images/word401/4.jpeg
130	3	chn_images/word132/6.jpeg
135	3	chn_images/word459/6.jpeg
150	3	chn_images/word414/1.jpeg
155	3	chn_images/word650/2.jpeg
160	3	chn_images/word239/3.jpeg
165	3	chn_images/word150/3.jpeg
170	3	chn_images/word94/5.jpeg
175	3	chn_images/word327/3.jpeg
180	3	chn_images/word600/6.jpeg
185	3	chn_images/word561/4.jpeg
190	3	chn_images/word569/6.jpeg
195	3	chn_images/word182/2.jpeg
200	3	chn_images/word160/4.jpeg
205	3	chn_images/word390/6.jpeg
210	3	chn_images/word192/1.jpeg
215	3	chn_images/word509/6.jpeg
220	3	chn_images/word310/3.jpeg
225	3	chn_images/word391/3.jpeg
230	3	chn_images/word118/6.jpeg
235	3	chn_images/word289/5.jpeg
240	3	chn_images/word618/4.jpeg
245	3	chn_images/word295/6.jpeg
250	3	chn_images/word542/1.jpeg
255	3	chn_images/word524/6.jpeg
260	3	chn_images/word613/6.jpeg
265	3	chn_images/word80/6.jpeg
270	3	chn_images/word344/2.jpeg
275	3	chn_images/word284/4.jpeg
280	3	chn_images/word665/5.jpeg
285	3	chn_images/word412/3.jpeg
