onset	duration	stim_file
0	3	chn_images/word394/5.jpeg
5	3	chn_images/word121/2.jpeg
10	3	chn_images/word496/2.jpeg
15	3	chn_images/word1/4.jpeg
20	3	chn_images/word357/3.jpeg
25	3	chn_images/word275/2.jpeg
30	3	chn_images/word610/4.jpeg
35	3	chn_images/word43/6.jpeg
40	3	chn_images/word329/4.jpeg
45	3	chn_images/word404/1.jpeg
50	3	chn_images/word190/6.jpeg
55	3	chn_images/word644/6.jpeg
60	3	chn_images/word448/2.jpeg
65	3	chn_images/word100/5.jpeg
70	3	chn_images/word44/2.jpeg
75	3	chn_images/word260/5.jpeg
80	3	chn_images/word147/6.jpeg
85	3	chn_images/word669/2.jpeg
90	3	chn_images/word622/1.jpeg
95	3	chn_images/word348/1.jpeg
100	3	chn_images/word526/3.jpeg
105	3	chn_images/word619/6.jpeg
110	3	chn_images/word392/2.jpeg
115	3	chn_images/word176/6.jpeg
120	3	chn_images/word104/6.jpeg
125	3	chn_images/word333/3.jpeg
130	3	chn_images/word555/6.jpeg
135	3	chn_images/word273/4.jpeg
150	3	chn_images/word538/2.jpeg
155	3	chn_images/word563/3.jpeg
160	3	chn_images/word366/5.jpeg
165	3	chn_images/word470/2.jpeg
170	3	chn_images/word435/1.jpeg
175	3	chn_images/word557/6.jpeg
180	3	chn_images/word20/6.jpeg
185	3	chn_images/word523/3.jpeg
190	3	chn_images/word254/6.jpeg
195	3	chn_images/word550/3.jpeg
200	3	chn_images/word658/4.jpeg
205	3	chn_images/word605/4.jpeg
210	3	chn_images/word368/3.jpeg
215	3	chn_images/word500/2.jpeg
220	3	chn_images/word566/2.jpeg
225	3	chn_images/word287/5.jpeg
230	3	chn_images/word432/1.jpeg
235	3	chn_images/word40/3.jpeg
240	3	chn_images/word553/1.jpeg
245	3	chn_images/word308/5.jpeg
250	3	chn_images/word532/5.jpeg
255	3	chn_images/word604/5.jpeg
260	3	chn_images/word556/5.jpeg
265	3	chn_images/word454/6.jpeg
270	3	chn_images/word36/6.jpeg
275	3	chn_images/word395/6.jpeg
280	3	chn_images/word315/6.jpeg
285	3	chn_images/word386/3.jpeg
